iter	Passed	Remaining
0	49	4917
1	50	2451
2	50	1628
3	50	1216
4	50	968
5	51	803
6	51	685
7	51	596
8	52	527
9	52	472
10	52	426
11	53	388
12	53	356
13	53	329
14	53	305
15	54	284
16	54	265
17	54	249
18	54	234
19	56	227
20	57	215
21	57	203
22	57	193
23	58	183
24	58	174
25	58	166
26	58	159
27	63	162
28	63	155
29	63	148
30	63	142
31	64	136
32	64	131
33	64	125
34	65	121
35	65	116
36	65	112
37	66	107
38	66	103
39	66	99
40	66	96
41	67	92
42	67	89
43	68	86
44	68	83
45	68	80
46	69	77
47	69	75
48	69	72
49	69	69
50	70	67
51	70	65
52	70	62
53	71	60
54	71	58
55	71	56
56	71	54
57	72	52
58	72	50
59	72	48
60	72	46
61	73	44
62	73	43
63	77	43
64	77	41
65	78	40
66	78	38
67	80	37
68	80	36
69	80	34
70	80	33
71	81	31
72	81	30
73	81	28
74	81	27
75	82	25
76	82	24
77	82	23
78	83	22
79	83	20
80	83	19
81	83	18
82	84	17
83	84	16
84	84	14
85	84	13
86	85	12
87	86	11
88	92	11
89	92	10
90	93	9
91	93	8
92	94	7
93	94	6
94	94	4
95	95	3
96	95	2
97	95	1
98	95	0
99	96	0
